Alimento,Doencas_Restritivas,Calorias,Refeicao_Indicada
Maçã,Colesterol Alto,203,Café da Manhã
Aveia,Diabetes Tipo 1,290,Jantar
Aveia,Osteoporose,302,Almoço
Brócolis,Osteoporose,363,Jantar
Tomate,Osteoporose,123,Almoço
Queijo Cottage,Diabetes Tipo 2,368,Lanche da Tarde
Couve,Insuficiência Renal,146,Almoço
Morango,Obesidade,455,Café da Manhã
Salmão,Obesidade,253,Lanche da Tarde
Blueberry,Diabetes Tipo 1,213,Café da Manhã
Blueberry,Osteoporose,234,Café da Manhã
Amêndoas,Diabetes Tipo 1,427,Café da Manhã
Banana,Diabetes Tipo 2,478,Jantar
Abobrinha,Doenças Cardíacas,244,Café da Manhã
Morango,Hipertensão,146,Café da Manhã
Blueberry,Doença Celíaca,142,Café da Manhã
Cenoura,Doenças Cardíacas,150,Jantar
Pimentão,Osteoporose,298,Jantar
Aveia,Hipertensão,124,Café da Manhã
Castanha de Caju,Osteoporose,405,Café da Manhã
Arroz Integral,Doença Celíaca,335,Lanche da Tarde
Brócolis,Colesterol Alto,239,Café da Manhã
Abacate,Diabetes Tipo 1,91,Almoço
Ovos,Obesidade,471,Jantar
Peito de Frango,Colesterol Alto,241,Lanche da Tarde
Lentilhas,Nenhuma,207,Almoço
Maçã,Hipertensão,403,Café da Manhã
Pepino,Diabetes Tipo 1,303,Lanche da Tarde
Acelga,Colesterol Alto,85,Lanche da Tarde
Blueberry,Colesterol Alto,284,Jantar
Tilápia,Insuficiência Renal,258,Almoço
Tomate,Nenhuma,134,Lanche da Tarde
Tomate,Diabetes Tipo 1,83,Jantar
Quinoa,Nenhuma,181,Almoço
Feijão Preto,Diabetes Tipo 1,401,Jantar
Banana,Colesterol Alto,287,Jantar
Brócolis,Nenhuma,150,Lanche da Tarde
Feijão Preto,Insuficiência Renal,394,Jantar
Batata Inglesa,Diabetes Tipo 2,240,Lanche da Tarde
Espinafre,Nenhuma,75,Café da Manhã
Morango,Insuficiência Renal,395,Café da Manhã
Acelga,Doença Celíaca,343,Café da Manhã
Iogurte Natural,Doenças Cardíacas,252,Café da Manhã
Carne Magra,Insuficiência Renal,274,Almoço
Grão-de-Bico,Nenhuma,245,Lanche da Tarde
Maçã,Doenças Cardíacas,177,Lanche da Tarde
Maçã,Osteoporose,241,Café da Manhã
Couve,Diabetes Tipo 1,263,Jantar
Peito de Frango,Doenças Cardíacas,127,Lanche da Tarde
Abobrinha,Nenhuma,146,Café da Manhã
Cenoura,Hipertensão,156,Jantar
Lentilhas,Hipertensão,55,Café da Manhã
Pão Integral,Doença Celíaca,327,Lanche da Tarde
Batata Inglesa,Nenhuma,218,Café da Manhã
Banana,Obesidade,191,Jantar
Banana,Doenças Cardíacas,77,Almoço
Acelga,Nenhuma,84,Café da Manhã
Abobrinha,Diabetes Tipo 1,434,Café da Manhã
Iogurte Natural,Insuficiência Renal,105,Almoço
Pepino,Osteoporose,299,Jantar
Semente de Linhaça,Doenças Cardíacas,94,Café da Manhã
Maçã,Diabetes Tipo 2,281,Café da Manhã
Quinoa,Doença Celíaca,226,Jantar
Acelga,Doenças Cardíacas,417,Café da Manhã
Amêndoas,Nenhuma,357,Jantar
Abacate,Doenças Cardíacas,365,Almoço
Iogurte Natural,Doença Celíaca,67,Jantar
Pão Integral,Nenhuma,402,Café da Manhã
Salmão,Osteoporose,274,Jantar
Pão Integral,Insuficiência Renal,317,Café da Manhã
Aveia,Colesterol Alto,476,Lanche da Tarde
Amêndoas,Colesterol Alto,248,Almoço
Couve,Diabetes Tipo 1,260,Almoço
Quinoa,Obesidade,339,Jantar
Lentilhas,Insuficiência Renal,101,Almoço
Abacate,Diabetes Tipo 2,486,Café da Manhã
Acelga,Diabetes Tipo 1,375,Almoço
Morango,Diabetes Tipo 1,131,Almoço
Lentilhas,Obesidade,488,Café da Manhã
Castanha de Caju,Hipertensão,316,Lanche da Tarde
Queijo Cottage,Colesterol Alto,254,Jantar
Peito de Frango,Nenhuma,91,Almoço
Acelga,Diabetes Tipo 1,465,Almoço
Maçã,Insuficiência Renal,309,Almoço
Batata Inglesa,Doenças Cardíacas,282,Almoço
Peito de Frango,Diabetes Tipo 1,276,Café da Manhã
Tofu,Doenças Cardíacas,476,Almoço
Maçã,Obesidade,400,Café da Manhã
Couve,Osteoporose,184,Jantar
Grão-de-Bico,Hipertensão,370,Café da Manhã
Tilápia,Diabetes Tipo 2,54,Jantar
Aveia,Diabetes Tipo 2,182,Lanche da Tarde
Grão-de-Bico,Insuficiência Renal,113,Almoço
Castanha de Caju,Colesterol Alto,286,Almoço
Queijo Cottage,Hipertensão,498,Almoço
Brócolis,Colesterol Alto,392,Lanche da Tarde
Maçã,Osteoporose,463,Almoço
Espinafre,Hipertensão,328,Jantar
Morango,Diabetes Tipo 1,137,Café da Manhã
Laranja,Doença Celíaca,355,Almoço
Grão-de-Bico,Doença Celíaca,332,Lanche da Tarde
Acelga,Obesidade,168,Almoço
Tofu,Nenhuma,362,Lanche da Tarde
Aveia,Doença Celíaca,189,Almoço
Pepino,Obesidade,436,Lanche da Tarde
Acelga,Colesterol Alto,62,Almoço
Abacate,Insuficiência Renal,52,Almoço
Cenoura,Diabetes Tipo 2,141,Jantar
Semente de Linhaça,Insuficiência Renal,254,Lanche da Tarde
Quinoa,Doença Celíaca,167,Jantar
Banana,Colesterol Alto,171,Almoço
Couve,Doenças Cardíacas,171,Lanche da Tarde
Espinafre,Obesidade,283,Jantar
Peras,Diabetes Tipo 2,85,Almoço
Iogurte Natural,Colesterol Alto,178,Jantar
Laranja,Colesterol Alto,367,Café da Manhã
Ovos,Nenhuma,127,Lanche da Tarde
Feijão Preto,Diabetes Tipo 1,151,Lanche da Tarde
Maçã,Doença Celíaca,452,Almoço
Abobrinha,Nenhuma,469,Jantar
Tomate,Hipertensão,60,Jantar
Castanha de Caju,Diabetes Tipo 1,325,Jantar
Tofu,Doença Celíaca,286,Café da Manhã
Blueberry,Diabetes Tipo 2,205,Lanche da Tarde
Laranja,Obesidade,315,Café da Manhã
Aveia,Insuficiência Renal,162,Jantar
Tofu,Obesidade,472,Lanche da Tarde
Grão-de-Bico,Insuficiência Renal,428,Almoço
Castanha de Caju,Obesidade,318,Café da Manhã
Arroz Integral,Colesterol Alto,289,Jantar
Tomate,Diabetes Tipo 1,280,Café da Manhã
Batata Inglesa,Colesterol Alto,152,Jantar
Arroz Integral,Diabetes Tipo 2,119,Jantar
Chia,Nenhuma,392,Jantar
Laranja,Doenças Cardíacas,112,Lanche da Tarde
Aveia,Diabetes Tipo 1,62,Café da Manhã
Quinoa,Diabetes Tipo 1,116,Jantar
Feijão Preto,Hipertensão,109,Jantar
Pão Integral,Osteoporose,434,Almoço
Aveia,Diabetes Tipo 1,74,Café da Manhã
Iogurte Natural,Doenças Cardíacas,412,Café da Manhã
Peras,Colesterol Alto,271,Almoço
Castanha de Caju,Insuficiência Renal,182,Jantar
Iogurte Natural,Diabetes Tipo 2,452,Café da Manhã
Ovos,Diabetes Tipo 1,351,Café da Manhã
Blueberry,Colesterol Alto,249,Almoço
Tilápia,Colesterol Alto,122,Almoço
Queijo Cottage,Diabetes Tipo 1,450,Café da Manhã
Aveia,Doenças Cardíacas,136,Almoço
Ovos,Obesidade,412,Café da Manhã
Tomate,Insuficiência Renal,129,Jantar
Ervilhas,Insuficiência Renal,433,Jantar
Feijão Preto,Doenças Cardíacas,326,Lanche da Tarde
Couve,Colesterol Alto,98,Lanche da Tarde
Salmão,Obesidade,137,Jantar
Queijo Cottage,Diabetes Tipo 2,372,Café da Manhã
Batata Inglesa,Diabetes Tipo 1,98,Café da Manhã
Castanha de Caju,Hipertensão,268,Café da Manhã
Batata Doce,Doenças Cardíacas,189,Almoço
Blueberry,Hipertensão,202,Café da Manhã
Lentilhas,Doenças Cardíacas,449,Jantar
Pepino,Nenhuma,417,Almoço
Lentilhas,Hipertensão,203,Jantar
Iogurte Natural,Osteoporose,433,Almoço
Abobrinha,Doenças Cardíacas,439,Café da Manhã
Tilápia,Obesidade,72,Lanche da Tarde
Banana,Osteoporose,360,Jantar
Batata Inglesa,Hipertensão,357,Café da Manhã
Blueberry,Hipertensão,212,Lanche da Tarde
Blueberry,Insuficiência Renal,207,Almoço
Aveia,Insuficiência Renal,190,Lanche da Tarde
Pepino,Colesterol Alto,350,Café da Manhã
Aveia,Obesidade,364,Lanche da Tarde
Amêndoas,Doença Celíaca,430,Lanche da Tarde
Abobrinha,Doenças Cardíacas,326,Café da Manhã
Acelga,Nenhuma,369,Lanche da Tarde
Peras,Obesidade,480,Café da Manhã
Peito de Frango,Nenhuma,403,Jantar
Morango,Osteoporose,125,Café da Manhã
Feijão Preto,Osteoporose,352,Lanche da Tarde
Iogurte Natural,Colesterol Alto,400,Lanche da Tarde
Abacate,Doença Celíaca,160,Lanche da Tarde
Espinafre,Diabetes Tipo 1,298,Lanche da Tarde
Pimentão,Osteoporose,317,Lanche da Tarde
Carne Magra,Doenças Cardíacas,401,Jantar
Laranja,Doença Celíaca,340,Café da Manhã
Semente de Linhaça,Doença Celíaca,347,Jantar
Tomate,Insuficiência Renal,199,Lanche da Tarde
Aveia,Nenhuma,252,Café da Manhã
Morango,Doença Celíaca,141,Jantar
Abacate,Doença Celíaca,131,Lanche da Tarde
Tilápia,Diabetes Tipo 1,363,Lanche da Tarde
Aveia,Nenhuma,440,Lanche da Tarde
Acelga,Hipertensão,445,Lanche da Tarde
Brócolis,Doenças Cardíacas,239,Almoço
Brócolis,Insuficiência Renal,418,Almoço
Morango,Doenças Cardíacas,416,Lanche da Tarde
Aveia,Colesterol Alto,197,Almoço
Chia,Osteoporose,299,Almoço
Aveia,Colesterol Alto,57,Café da Manhã
Batata Inglesa,Colesterol Alto,363,Almoço
Brócolis,Colesterol Alto,194,Café da Manhã
Espinafre,Hipertensão,376,Lanche da Tarde
Semente de Linhaça,Doenças Cardíacas,218,Jantar
Batata Doce,Nenhuma,240,Lanche da Tarde
Queijo Cottage,Nenhuma,244,Lanche da Tarde
Ervilhas,Hipertensão,60,Almoço
Grão-de-Bico,Nenhuma,347,Lanche da Tarde
Grão-de-Bico,Doença Celíaca,476,Café da Manhã
Blueberry,Nenhuma,474,Almoço
Ervilhas,Nenhuma,463,Almoço
Peito de Frango,Insuficiência Renal,124,Café da Manhã
Couve,Doenças Cardíacas,380,Almoço
Maçã,Hipertensão,209,Jantar
Iogurte Natural,Hipertensão,131,Almoço
Grão-de-Bico,Insuficiência Renal,405,Café da Manhã
Peito de Frango,Hipertensão,470,Lanche da Tarde
Ovos,Doença Celíaca,111,Jantar
Arroz Integral,Diabetes Tipo 1,387,Almoço
Banana,Hipertensão,419,Café da Manhã
Cenoura,Diabetes Tipo 2,461,Almoço
Acelga,Diabetes Tipo 1,331,Café da Manhã
Semente de Linhaça,Colesterol Alto,481,Almoço
Couve,Doença Celíaca,232,Lanche da Tarde
Aveia,Insuficiência Renal,300,Jantar
Aveia,Hipertensão,417,Café da Manhã
Acelga,Doença Celíaca,445,Lanche da Tarde
Tofu,Nenhuma,226,Café da Manhã
Tilápia,Colesterol Alto,142,Almoço
Ervilhas,Doenças Cardíacas,322,Almoço
Pepino,Diabetes Tipo 1,290,Jantar
Cenoura,Obesidade,250,Almoço
Tilápia,Obesidade,467,Almoço
Abacate,Colesterol Alto,173,Café da Manhã
Laranja,Doença Celíaca,226,Café da Manhã
Peito de Frango,Doença Celíaca,448,Almoço
Pimentão,Diabetes Tipo 1,218,Lanche da Tarde
Amêndoas,Diabetes Tipo 2,371,Almoço
Laranja,Obesidade,224,Jantar
Semente de Linhaça,Colesterol Alto,273,Lanche da Tarde
Queijo Cottage,Doenças Cardíacas,328,Café da Manhã
Iogurte Natural,Diabetes Tipo 2,242,Café da Manhã
Peras,Doenças Cardíacas,254,Almoço
Tofu,Doença Celíaca,218,Almoço
Cenoura,Hipertensão,298,Jantar
Salmão,Colesterol Alto,498,Almoço
Batata Doce,Nenhuma,209,Jantar
Pepino,Doenças Cardíacas,110,Café da Manhã
Carne Magra,Diabetes Tipo 1,432,Almoço
Tomate,Osteoporose,334,Jantar
Tilápia,Colesterol Alto,174,Almoço
Queijo Cottage,Diabetes Tipo 2,235,Lanche da Tarde
Brócolis,Colesterol Alto,133,Café da Manhã
Aveia,Osteoporose,146,Almoço
Feijão Preto,Diabetes Tipo 2,156,Lanche da Tarde
Semente de Linhaça,Obesidade,349,Lanche da Tarde
Brócolis,Diabetes Tipo 1,118,Jantar
Carne Magra,Diabetes Tipo 2,259,Almoço
Cenoura,Diabetes Tipo 1,143,Jantar
Maçã,Hipertensão,76,Café da Manhã
Peras,Insuficiência Renal,267,Lanche da Tarde
Ovos,Osteoporose,485,Café da Manhã
Couve,Doenças Cardíacas,390,Lanche da Tarde
Tofu,Colesterol Alto,353,Lanche da Tarde
Blueberry,Nenhuma,363,Café da Manhã
Aveia,Insuficiência Renal,91,Jantar
Arroz Integral,Nenhuma,276,Jantar
Semente de Linhaça,Obesidade,462,Lanche da Tarde
Tilápia,Insuficiência Renal,210,Jantar
Morango,Obesidade,190,Almoço
Feijão Preto,Colesterol Alto,138,Jantar
Tomate,Nenhuma,160,Almoço
Arroz Integral,Osteoporose,249,Lanche da Tarde
Batata Doce,Doença Celíaca,494,Jantar
Morango,Osteoporose,345,Almoço
Castanha de Caju,Nenhuma,351,Jantar
Cenoura,Diabetes Tipo 2,211,Café da Manhã
Maçã,Doença Celíaca,144,Café da Manhã
Iogurte Natural,Doenças Cardíacas,110,Jantar
Carne Magra,Diabetes Tipo 1,468,Jantar
Couve,Obesidade,207,Jantar
Aveia,Obesidade,426,Almoço
Feijão Preto,Diabetes Tipo 2,217,Almoço
Quinoa,Obesidade,369,Almoço
Peras,Diabetes Tipo 2,200,Café da Manhã
Carne Magra,Diabetes Tipo 1,277,Jantar
Abacate,Doença Celíaca,103,Lanche da Tarde
Pepino,Diabetes Tipo 2,242,Almoço
Pão Integral,Insuficiência Renal,76,Jantar
Peras,Diabetes Tipo 1,118,Almoço
Acelga,Doença Celíaca,93,Jantar
Tomate,Osteoporose,481,Café da Manhã
Batata Doce,Doença Celíaca,187,Jantar
Arroz Integral,Osteoporose,120,Lanche da Tarde
Castanha de Caju,Doença Celíaca,463,Café da Manhã
Peito de Frango,Hipertensão,55,Almoço
Maçã,Hipertensão,51,Café da Manhã
Arroz Integral,Diabetes Tipo 1,430,Lanche da Tarde
Lentilhas,Nenhuma,136,Café da Manhã
Lentilhas,Obesidade,76,Café da Manhã
Iogurte Natural,Hipertensão,399,Jantar
Pão Integral,Diabetes Tipo 1,183,Lanche da Tarde
Carne Magra,Insuficiência Renal,450,Jantar
Chia,Doença Celíaca,460,Almoço
Espinafre,Obesidade,350,Café da Manhã
Semente de Linhaça,Osteoporose,332,Café da Manhã
Acelga,Osteoporose,128,Lanche da Tarde
Pepino,Nenhuma,394,Almoço
Grão-de-Bico,Hipertensão,186,Lanche da Tarde
Tofu,Colesterol Alto,325,Jantar
Pepino,Nenhuma,425,Jantar
Morango,Hipertensão,365,Almoço
Banana,Diabetes Tipo 2,125,Almoço
Salmão,Obesidade,224,Café da Manhã
Tofu,Nenhuma,327,Jantar
Ovos,Osteoporose,239,Almoço
Chia,Diabetes Tipo 1,107,Almoço
Acelga,Osteoporose,460,Café da Manhã
Brócolis,Insuficiência Renal,103,Café da Manhã
Castanha de Caju,Doenças Cardíacas,418,Almoço
Salmão,Osteoporose,171,Jantar
Abobrinha,Colesterol Alto,456,Almoço
Arroz Integral,Doenças Cardíacas,388,Jantar
Castanha de Caju,Doenças Cardíacas,216,Almoço
Batata Doce,Doenças Cardíacas,499,Jantar
Ovos,Diabetes Tipo 2,182,Lanche da Tarde
Peras,Osteoporose,175,Café da Manhã
Lentilhas,Insuficiência Renal,281,Almoço
Aveia,Diabetes Tipo 2,453,Almoço
Arroz Integral,Obesidade,397,Café da Manhã
Acelga,Doenças Cardíacas,441,Jantar
Salmão,Nenhuma,418,Almoço
Cenoura,Diabetes Tipo 2,423,Almoço
Batata Doce,Doença Celíaca,404,Almoço
Abacate,Doenças Cardíacas,394,Jantar
Aveia,Insuficiência Renal,363,Almoço
Laranja,Obesidade,375,Lanche da Tarde
Ovos,Diabetes Tipo 2,94,Almoço
Morango,Diabetes Tipo 2,63,Almoço
Blueberry,Diabetes Tipo 2,472,Café da Manhã
Pão Integral,Hipertensão,257,Jantar
Couve,Doença Celíaca,50,Lanche da Tarde
Morango,Hipertensão,163,Café da Manhã
Tofu,Obesidade,485,Jantar
Aveia,Nenhuma,246,Jantar
Abacate,Insuficiência Renal,95,Almoço
Ervilhas,Colesterol Alto,200,Café da Manhã
Pimentão,Doença Celíaca,336,Jantar
Morango,Diabetes Tipo 2,82,Lanche da Tarde
Semente de Linhaça,Colesterol Alto,169,Almoço
Tilápia,Diabetes Tipo 1,145,Almoço
Ervilhas,Colesterol Alto,95,Almoço
Peras,Colesterol Alto,150,Almoço
Batata Doce,Colesterol Alto,437,Lanche da Tarde
Brócolis,Obesidade,238,Almoço
Maçã,Doença Celíaca,469,Jantar
Tomate,Obesidade,69,Café da Manhã
Couve,Osteoporose,148,Jantar
Cenoura,Insuficiência Renal,195,Almoço
Abacate,Doença Celíaca,286,Café da Manhã
Aveia,Osteoporose,309,Almoço
Banana,Doença Celíaca,238,Almoço
Abacate,Doenças Cardíacas,115,Lanche da Tarde
Couve,Osteoporose,193,Lanche da Tarde
Pão Integral,Osteoporose,411,Jantar
Ovos,Osteoporose,314,Lanche da Tarde
Espinafre,Obesidade,426,Café da Manhã
Tofu,Diabetes Tipo 2,358,Café da Manhã
Semente de Linhaça,Nenhuma,456,Café da Manhã
Batata Inglesa,Hipertensão,60,Almoço
Abacate,Nenhuma,94,Almoço
Salmão,Diabetes Tipo 2,190,Almoço
Brócolis,Doença Celíaca,53,Almoço
Semente de Linhaça,Hipertensão,328,Lanche da Tarde
Acelga,Doença Celíaca,190,Almoço
Tomate,Diabetes Tipo 1,203,Café da Manhã
Amêndoas,Doença Celíaca,231,Jantar
Pepino,Insuficiência Renal,140,Jantar
Espinafre,Nenhuma,90,Jantar
Grão-de-Bico,Doenças Cardíacas,219,Café da Manhã
Ervilhas,Colesterol Alto,178,Jantar
Aveia,Colesterol Alto,233,Almoço
Amêndoas,Colesterol Alto,109,Lanche da Tarde
Couve,Diabetes Tipo 2,280,Jantar
Banana,Doenças Cardíacas,230,Lanche da Tarde
Maçã,Diabetes Tipo 2,205,Jantar
Blueberry,Doença Celíaca,90,Lanche da Tarde
Couve,Diabetes Tipo 1,263,Lanche da Tarde
Acelga,Nenhuma,71,Almoço
Peito de Frango,Diabetes Tipo 2,126,Lanche da Tarde
Salmão,Diabetes Tipo 2,185,Lanche da Tarde
Aveia,Diabetes Tipo 1,181,Jantar
Grão-de-Bico,Diabetes Tipo 2,77,Almoço
Ervilhas,Colesterol Alto,235,Café da Manhã
Carne Magra,Obesidade,291,Almoço
Pão Integral,Nenhuma,394,Café da Manhã
Chia,Obesidade,227,Jantar
Feijão Preto,Nenhuma,224,Jantar
Brócolis,Diabetes Tipo 1,251,Almoço
Peito de Frango,Hipertensão,86,Lanche da Tarde
Ervilhas,Doença Celíaca,58,Jantar
Batata Doce,Diabetes Tipo 2,443,Lanche da Tarde
Tofu,Hipertensão,435,Lanche da Tarde
Arroz Integral,Obesidade,216,Café da Manhã
Abacate,Colesterol Alto,454,Café da Manhã
Batata Doce,Obesidade,95,Almoço
Aveia,Hipertensão,395,Jantar
Queijo Cottage,Insuficiência Renal,222,Café da Manhã
Semente de Linhaça,Colesterol Alto,139,Almoço
Aveia,Nenhuma,370,Almoço
Abobrinha,Doenças Cardíacas,153,Jantar
Abacate,Diabetes Tipo 2,364,Jantar
Batata Doce,Osteoporose,376,Café da Manhã
Tomate,Nenhuma,153,Jantar
Batata Inglesa,Diabetes Tipo 2,292,Jantar
Maçã,Diabetes Tipo 2,67,Almoço
Peito de Frango,Diabetes Tipo 2,317,Lanche da Tarde
Semente de Linhaça,Hipertensão,67,Café da Manhã
Tofu,Doenças Cardíacas,343,Lanche da Tarde
Brócolis,Obesidade,144,Almoço
Tomate,Diabetes Tipo 1,235,Café da Manhã
Batata Doce,Doenças Cardíacas,419,Lanche da Tarde
Queijo Cottage,Osteoporose,251,Jantar
Pimentão,Insuficiência Renal,318,Jantar
Carne Magra,Doenças Cardíacas,451,Almoço
Arroz Integral,Colesterol Alto,176,Jantar
Maçã,Doenças Cardíacas,342,Café da Manhã
Abobrinha,Insuficiência Renal,210,Café da Manhã
Aveia,Insuficiência Renal,433,Jantar
Espinafre,Doença Celíaca,437,Lanche da Tarde
Grão-de-Bico,Colesterol Alto,424,Lanche da Tarde
Morango,Diabetes Tipo 1,167,Almoço
Feijão Preto,Diabetes Tipo 1,289,Almoço
Tomate,Colesterol Alto,215,Café da Manhã
Chia,Colesterol Alto,249,Café da Manhã
Quinoa,Doença Celíaca,288,Jantar
Feijão Preto,Osteoporose,239,Almoço
Salmão,Hipertensão,55,Jantar
Ervilhas,Osteoporose,195,Lanche da Tarde
Pão Integral,Doenças Cardíacas,324,Lanche da Tarde
Tilápia,Hipertensão,68,Café da Manhã
Semente de Linhaça,Colesterol Alto,387,Jantar
Cenoura,Hipertensão,83,Jantar
Acelga,Osteoporose,188,Café da Manhã
Laranja,Obesidade,355,Lanche da Tarde
Abacate,Insuficiência Renal,59,Almoço
Lentilhas,Doença Celíaca,204,Café da Manhã
Couve,Nenhuma,182,Café da Manhã
Pão Integral,Nenhuma,410,Café da Manhã
Castanha de Caju,Osteoporose,139,Café da Manhã
Tofu,Diabetes Tipo 2,164,Café da Manhã
Morango,Insuficiência Renal,279,Café da Manhã
Grão-de-Bico,Nenhuma,377,Lanche da Tarde
Acelga,Obesidade,403,Lanche da Tarde
Brócolis,Diabetes Tipo 2,323,Jantar
Chia,Diabetes Tipo 2,302,Almoço
Chia,Colesterol Alto,162,Lanche da Tarde
Peras,Diabetes Tipo 1,67,Jantar
Amêndoas,Osteoporose,408,Lanche da Tarde
Lentilhas,Obesidade,250,Jantar
Grão-de-Bico,Hipertensão,152,Almoço
Chia,Hipertensão,108,Jantar
Abobrinha,Doença Celíaca,137,Café da Manhã
Ovos,Diabetes Tipo 1,489,Lanche da Tarde
Maçã,Osteoporose,212,Lanche da Tarde
Espinafre,Osteoporose,279,Jantar
Iogurte Natural,Diabetes Tipo 1,246,Almoço
Castanha de Caju,Doença Celíaca,180,Almoço
Batata Doce,Diabetes Tipo 2,419,Lanche da Tarde
Tofu,Diabetes Tipo 2,331,Café da Manhã
Salmão,Diabetes Tipo 2,376,Café da Manhã
Tofu,Diabetes Tipo 1,188,Almoço
Lentilhas,Colesterol Alto,69,Jantar
Abobrinha,Obesidade,479,Jantar
Pepino,Diabetes Tipo 2,385,Almoço
Batata Doce,Doença Celíaca,134,Café da Manhã
Carne Magra,Colesterol Alto,487,Jantar
Banana,Obesidade,232,Jantar
Laranja,Colesterol Alto,341,Lanche da Tarde
Carne Magra,Doença Celíaca,481,Lanche da Tarde
Quinoa,Diabetes Tipo 2,249,Almoço
Pimentão,Doença Celíaca,410,Jantar
Semente de Linhaça,Colesterol Alto,366,Jantar
Couve,Doenças Cardíacas,86,Lanche da Tarde
Batata Inglesa,Colesterol Alto,163,Café da Manhã
Tilápia,Hipertensão,462,Jantar
Tilápia,Diabetes Tipo 2,478,Lanche da Tarde
Ervilhas,Insuficiência Renal,96,Jantar
Amêndoas,Obesidade,443,Almoço
Feijão Preto,Hipertensão,406,Almoço
Ovos,Colesterol Alto,137,Almoço
Laranja,Doença Celíaca,213,Lanche da Tarde
Arroz Integral,Colesterol Alto,142,Café da Manhã
Espinafre,Nenhuma,68,Lanche da Tarde
Chia,Osteoporose,128,Jantar
Semente de Linhaça,Nenhuma,281,Lanche da Tarde
Banana,Hipertensão,198,Almoço
Maçã,Colesterol Alto,86,Jantar
Peito de Frango,Obesidade,378,Jantar
Blueberry,Osteoporose,418,Lanche da Tarde
