Alimento,Doencas_Restritivas,Calorias,Refeicao_Indicada
Grão-de-Bico,Insuficiência Renal,409,Lanche da Tarde
Lentilhas,Insuficiência Renal,63,Jantar
Aveia,Diabetes Tipo 2,157,Jantar
Pimentão,Obesidade,327,Jantar
Tomate,Doenças Cardíacas,365,Almoço
Blueberry,Colesterol Alto,289,Almoço
Salmão,Colesterol Alto,239,Jantar
Abacate,Doenças Cardíacas,338,Café da Manhã
Salmão,Hipertensão,80,Lanche da Tarde
Carne Magra,Hipertensão,123,Café da Manhã
Salmão,Nenhuma,141,Almoço
Laranja,Diabetes Tipo 2,495,Jantar
Carne Magra,Diabetes Tipo 1,462,Lanche da Tarde
Carne Magra,Osteoporose,362,Jantar
Abobrinha,Doenças Cardíacas,329,Café da Manhã
Pimentão,Obesidade,398,Lanche da Tarde
Peito de Frango,Diabetes Tipo 1,490,Jantar
Brócolis,Hipertensão,372,Lanche da Tarde
Couve,Diabetes Tipo 1,326,Almoço
Castanha de Caju,Nenhuma,392,Lanche da Tarde
Queijo Cottage,Doenças Cardíacas,146,Jantar
Batata Inglesa,Insuficiência Renal,441,Café da Manhã
Cenoura,Nenhuma,490,Jantar
Acelga,Colesterol Alto,327,Almoço
Arroz Integral,Osteoporose,134,Jantar
Aveia,Colesterol Alto,453,Lanche da Tarde
Queijo Cottage,Doença Celíaca,395,Café da Manhã
Pimentão,Nenhuma,225,Lanche da Tarde
Peras,Insuficiência Renal,471,Lanche da Tarde
Ovos,Diabetes Tipo 2,138,Café da Manhã
Aveia,Insuficiência Renal,389,Café da Manhã
Pimentão,Osteoporose,489,Almoço
Banana,Diabetes Tipo 1,220,Almoço
Peito de Frango,Nenhuma,63,Lanche da Tarde
Salmão,Doenças Cardíacas,478,Jantar
Amêndoas,Obesidade,141,Almoço
Chia,Insuficiência Renal,392,Jantar
Espinafre,Hipertensão,397,Lanche da Tarde
Quinoa,Insuficiência Renal,181,Jantar
Arroz Integral,Doenças Cardíacas,491,Almoço
Batata Doce,Doenças Cardíacas,211,Lanche da Tarde
Peito de Frango,Obesidade,335,Jantar
Aveia,Diabetes Tipo 1,391,Almoço
Espinafre,Obesidade,116,Almoço
Semente de Linhaça,Obesidade,88,Lanche da Tarde
Aveia,Insuficiência Renal,458,Jantar
Aveia,Nenhuma,259,Café da Manhã
Quinoa,Nenhuma,127,Almoço
Pepino,Diabetes Tipo 2,283,Lanche da Tarde
Peito de Frango,Nenhuma,75,Lanche da Tarde
Pão Integral,Nenhuma,87,Lanche da Tarde
Cenoura,Hipertensão,320,Café da Manhã
Peito de Frango,Osteoporose,463,Café da Manhã
Tofu,Diabetes Tipo 2,417,Almoço
Blueberry,Insuficiência Renal,441,Lanche da Tarde
Aveia,Doenças Cardíacas,364,Jantar
Peito de Frango,Diabetes Tipo 2,461,Café da Manhã
Couve,Colesterol Alto,462,Café da Manhã
Blueberry,Osteoporose,392,Café da Manhã
Ervilhas,Doenças Cardíacas,118,Café da Manhã
Pepino,Doenças Cardíacas,330,Jantar
Ervilhas,Diabetes Tipo 2,281,Lanche da Tarde
Quinoa,Nenhuma,204,Almoço
Batata Doce,Diabetes Tipo 2,300,Jantar
Ervilhas,Doenças Cardíacas,187,Café da Manhã
Cenoura,Diabetes Tipo 2,493,Almoço
Tilápia,Colesterol Alto,411,Café da Manhã
Amêndoas,Doença Celíaca,294,Jantar
Feijão Preto,Doenças Cardíacas,233,Café da Manhã
Grão-de-Bico,Nenhuma,377,Almoço
Morango,Doenças Cardíacas,134,Almoço
Aveia,Insuficiência Renal,445,Lanche da Tarde
Maçã,Insuficiência Renal,248,Lanche da Tarde
Amêndoas,Hipertensão,398,Jantar
Brócolis,Nenhuma,415,Lanche da Tarde
Pepino,Obesidade,308,Lanche da Tarde
Pão Integral,Obesidade,217,Almoço
Batata Doce,Diabetes Tipo 1,107,Almoço
Aveia,Obesidade,300,Jantar
Amêndoas,Diabetes Tipo 2,461,Café da Manhã
Pimentão,Diabetes Tipo 2,465,Jantar
Pepino,Osteoporose,469,Almoço
Batata Doce,Insuficiência Renal,190,Café da Manhã
Chia,Doença Celíaca,370,Lanche da Tarde
Tilápia,Obesidade,305,Café da Manhã
Aveia,Obesidade,201,Lanche da Tarde
Espinafre,Doença Celíaca,183,Café da Manhã
Abacate,Diabetes Tipo 1,233,Jantar
Banana,Doença Celíaca,242,Lanche da Tarde
Abacate,Hipertensão,341,Almoço
Ovos,Doenças Cardíacas,433,Lanche da Tarde
Carne Magra,Colesterol Alto,60,Lanche da Tarde
Chia,Osteoporose,207,Café da Manhã
Morango,Osteoporose,369,Jantar
Laranja,Colesterol Alto,354,Jantar
Abobrinha,Colesterol Alto,260,Almoço
Brócolis,Osteoporose,109,Café da Manhã
Laranja,Doenças Cardíacas,166,Almoço
Aveia,Colesterol Alto,225,Almoço
Couve,Insuficiência Renal,495,Lanche da Tarde
Chia,Nenhuma,188,Lanche da Tarde
Pão Integral,Hipertensão,197,Jantar
Espinafre,Insuficiência Renal,279,Lanche da Tarde
Amêndoas,Insuficiência Renal,127,Café da Manhã
Ervilhas,Colesterol Alto,235,Café da Manhã
Pimentão,Doenças Cardíacas,86,Almoço
Feijão Preto,Hipertensão,53,Café da Manhã
Ervilhas,Colesterol Alto,469,Jantar
Chia,Nenhuma,296,Jantar
Acelga,Hipertensão,380,Lanche da Tarde
Aveia,Diabetes Tipo 2,134,Café da Manhã
Blueberry,Hipertensão,398,Café da Manhã
Pepino,Colesterol Alto,122,Jantar
Abacate,Insuficiência Renal,58,Almoço
Tofu,Insuficiência Renal,430,Lanche da Tarde
Carne Magra,Doenças Cardíacas,247,Café da Manhã
Arroz Integral,Nenhuma,271,Café da Manhã
Pepino,Diabetes Tipo 2,493,Almoço
Aveia,Obesidade,258,Almoço
Blueberry,Obesidade,491,Almoço
Carne Magra,Diabetes Tipo 2,422,Lanche da Tarde
Blueberry,Doença Celíaca,392,Almoço
Pepino,Nenhuma,277,Café da Manhã
Aveia,Nenhuma,100,Café da Manhã
Tomate,Hipertensão,405,Lanche da Tarde
Maçã,Diabetes Tipo 1,130,Almoço
Espinafre,Diabetes Tipo 2,167,Lanche da Tarde
Aveia,Doença Celíaca,461,Lanche da Tarde
Salmão,Nenhuma,146,Jantar
Semente de Linhaça,Obesidade,353,Lanche da Tarde
Acelga,Nenhuma,61,Lanche da Tarde
Salmão,Osteoporose,132,Almoço
Tomate,Obesidade,266,Lanche da Tarde
Grão-de-Bico,Doença Celíaca,74,Jantar
Abobrinha,Doenças Cardíacas,178,Lanche da Tarde
Abacate,Insuficiência Renal,159,Lanche da Tarde
Maçã,Insuficiência Renal,494,Café da Manhã
Couve,Nenhuma,250,Jantar
Laranja,Hipertensão,137,Almoço
Ervilhas,Doenças Cardíacas,51,Jantar
Amêndoas,Doença Celíaca,301,Lanche da Tarde
Lentilhas,Obesidade,399,Café da Manhã
Ervilhas,Insuficiência Renal,97,Almoço
Morango,Doenças Cardíacas,152,Lanche da Tarde
Amêndoas,Colesterol Alto,280,Jantar
Peito de Frango,Osteoporose,286,Almoço
Abobrinha,Doença Celíaca,484,Almoço
Banana,Colesterol Alto,261,Almoço
Espinafre,Nenhuma,175,Lanche da Tarde
Salmão,Hipertensão,267,Lanche da Tarde
Salmão,Diabetes Tipo 1,176,Almoço
Abobrinha,Obesidade,288,Café da Manhã
Abobrinha,Nenhuma,391,Almoço
Iogurte Natural,Osteoporose,84,Lanche da Tarde
Queijo Cottage,Diabetes Tipo 2,344,Lanche da Tarde
Laranja,Nenhuma,292,Lanche da Tarde
Amêndoas,Osteoporose,433,Lanche da Tarde
Tilápia,Osteoporose,411,Almoço
Brócolis,Diabetes Tipo 1,355,Café da Manhã
Arroz Integral,Osteoporose,438,Jantar
Peito de Frango,Insuficiência Renal,261,Almoço
Banana,Osteoporose,357,Jantar
Lentilhas,Osteoporose,339,Lanche da Tarde
Amêndoas,Diabetes Tipo 2,391,Jantar
Amêndoas,Nenhuma,182,Jantar
Queijo Cottage,Colesterol Alto,485,Almoço
Pepino,Obesidade,267,Café da Manhã
Aveia,Hipertensão,431,Café da Manhã
Castanha de Caju,Osteoporose,293,Almoço
Tofu,Nenhuma,121,Café da Manhã
Carne Magra,Osteoporose,490,Almoço
Queijo Cottage,Doenças Cardíacas,176,Almoço
Salmão,Nenhuma,342,Café da Manhã
Couve,Osteoporose,101,Lanche da Tarde
Chia,Insuficiência Renal,273,Almoço
Tofu,Obesidade,111,Café da Manhã
Peito de Frango,Diabetes Tipo 2,239,Jantar
Lentilhas,Doença Celíaca,417,Jantar
Pimentão,Osteoporose,244,Almoço
Pimentão,Nenhuma,491,Café da Manhã
Batata Inglesa,Diabetes Tipo 1,203,Café da Manhã
Feijão Preto,Obesidade,446,Almoço
Ovos,Insuficiência Renal,294,Jantar
Feijão Preto,Nenhuma,495,Almoço
Espinafre,Colesterol Alto,427,Almoço
Amêndoas,Doenças Cardíacas,431,Jantar
Tilápia,Hipertensão,439,Jantar
Maçã,Hipertensão,213,Lanche da Tarde
Tilápia,Obesidade,272,Lanche da Tarde
Chia,Diabetes Tipo 1,294,Jantar
Peras,Nenhuma,230,Jantar
Tomate,Insuficiência Renal,187,Almoço
Peito de Frango,Hipertensão,99,Jantar
Couve,Obesidade,234,Café da Manhã
Tomate,Diabetes Tipo 2,207,Almoço
Couve,Hipertensão,253,Café da Manhã
Peito de Frango,Osteoporose,239,Jantar
Carne Magra,Hipertensão,468,Café da Manhã
Amêndoas,Doenças Cardíacas,298,Jantar
Chia,Colesterol Alto,428,Almoço
Tomate,Diabetes Tipo 2,477,Almoço
Amêndoas,Osteoporose,339,Jantar
Abobrinha,Doença Celíaca,428,Almoço
Batata Doce,Nenhuma,206,Almoço
Ovos,Nenhuma,72,Lanche da Tarde
Tilápia,Osteoporose,139,Jantar
Maçã,Hipertensão,67,Almoço
Morango,Diabetes Tipo 1,305,Almoço
Lentilhas,Obesidade,83,Café da Manhã
Espinafre,Osteoporose,147,Jantar
Aveia,Nenhuma,139,Lanche da Tarde
Aveia,Diabetes Tipo 2,429,Jantar
Ovos,Colesterol Alto,57,Café da Manhã
Brócolis,Insuficiência Renal,242,Café da Manhã
Abacate,Diabetes Tipo 1,318,Café da Manhã
Pimentão,Doenças Cardíacas,291,Almoço
Cenoura,Doença Celíaca,377,Lanche da Tarde
Brócolis,Insuficiência Renal,478,Café da Manhã
Lentilhas,Colesterol Alto,137,Café da Manhã
Abobrinha,Diabetes Tipo 2,88,Lanche da Tarde
Quinoa,Diabetes Tipo 2,52,Café da Manhã
Ervilhas,Doenças Cardíacas,493,Almoço
Pão Integral,Osteoporose,123,Café da Manhã
Ovos,Hipertensão,464,Almoço
Couve,Insuficiência Renal,240,Jantar
Batata Doce,Nenhuma,356,Jantar
Morango,Diabetes Tipo 1,204,Jantar
Semente de Linhaça,Hipertensão,62,Lanche da Tarde
Batata Doce,Diabetes Tipo 2,452,Almoço
Peras,Doença Celíaca,291,Jantar
Grão-de-Bico,Nenhuma,463,Lanche da Tarde
Tofu,Diabetes Tipo 2,236,Lanche da Tarde
Ovos,Osteoporose,472,Almoço
Semente de Linhaça,Hipertensão,297,Café da Manhã
Iogurte Natural,Obesidade,376,Jantar
Morango,Nenhuma,116,Jantar
Quinoa,Osteoporose,174,Café da Manhã
Tofu,Doença Celíaca,355,Café da Manhã
Chia,Insuficiência Renal,298,Café da Manhã
Grão-de-Bico,Obesidade,229,Café da Manhã
Cenoura,Diabetes Tipo 2,386,Jantar
Acelga,Doenças Cardíacas,337,Almoço
Batata Doce,Doenças Cardíacas,186,Lanche da Tarde
Pimentão,Nenhuma,411,Café da Manhã
Pão Integral,Diabetes Tipo 2,409,Jantar
Castanha de Caju,Osteoporose,209,Jantar
Pimentão,Colesterol Alto,459,Jantar
Tomate,Insuficiência Renal,68,Lanche da Tarde
Arroz Integral,Osteoporose,398,Café da Manhã
Feijão Preto,Doenças Cardíacas,371,Café da Manhã
Cenoura,Diabetes Tipo 2,491,Café da Manhã
Peito de Frango,Insuficiência Renal,396,Almoço
Couve,Nenhuma,165,Lanche da Tarde
Banana,Osteoporose,464,Jantar
Tilápia,Osteoporose,455,Almoço
Peito de Frango,Nenhuma,422,Lanche da Tarde
Ovos,Osteoporose,381,Café da Manhã
Abobrinha,Doença Celíaca,341,Café da Manhã
Peras,Insuficiência Renal,175,Jantar
Tofu,Insuficiência Renal,232,Café da Manhã
Tomate,Nenhuma,370,Jantar
Pão Integral,Osteoporose,299,Almoço
Abacate,Insuficiência Renal,113,Lanche da Tarde
Espinafre,Insuficiência Renal,266,Lanche da Tarde
Aveia,Diabetes Tipo 1,224,Lanche da Tarde
Peras,Hipertensão,146,Almoço
Pimentão,Insuficiência Renal,218,Lanche da Tarde
Tilápia,Hipertensão,108,Jantar
Cenoura,Nenhuma,374,Lanche da Tarde
Tofu,Diabetes Tipo 2,463,Jantar
Tilápia,Colesterol Alto,101,Almoço
Ervilhas,Diabetes Tipo 1,104,Almoço
Tofu,Hipertensão,106,Lanche da Tarde
Pimentão,Hipertensão,388,Lanche da Tarde
Blueberry,Doenças Cardíacas,102,Almoço
Ovos,Doença Celíaca,151,Almoço
Acelga,Colesterol Alto,116,Almoço
Tilápia,Doenças Cardíacas,421,Almoço
Banana,Hipertensão,83,Almoço
Morango,Obesidade,461,Jantar
Arroz Integral,Insuficiência Renal,415,Almoço
Maçã,Colesterol Alto,348,Jantar
Morango,Colesterol Alto,419,Jantar
Pimentão,Hipertensão,56,Café da Manhã
Chia,Diabetes Tipo 2,487,Lanche da Tarde
Aveia,Obesidade,143,Lanche da Tarde
Aveia,Osteoporose,82,Lanche da Tarde
Salmão,Colesterol Alto,409,Almoço
Blueberry,Diabetes Tipo 2,457,Café da Manhã
Lentilhas,Hipertensão,215,Lanche da Tarde
Pimentão,Nenhuma,188,Café da Manhã
Cenoura,Obesidade,443,Café da Manhã
Ovos,Doença Celíaca,371,Almoço
Peito de Frango,Nenhuma,370,Lanche da Tarde
Tomate,Obesidade,53,Jantar
Peras,Diabetes Tipo 1,203,Jantar
Iogurte Natural,Osteoporose,239,Café da Manhã
Iogurte Natural,Insuficiência Renal,154,Almoço
Ervilhas,Doença Celíaca,254,Jantar
Batata Doce,Diabetes Tipo 2,245,Jantar
Chia,Hipertensão,276,Lanche da Tarde
Batata Doce,Insuficiência Renal,269,Almoço
Feijão Preto,Diabetes Tipo 2,99,Café da Manhã
Couve,Obesidade,51,Jantar
Pepino,Diabetes Tipo 1,314,Lanche da Tarde
Morango,Doença Celíaca,152,Lanche da Tarde
Queijo Cottage,Diabetes Tipo 2,147,Lanche da Tarde
Laranja,Colesterol Alto,413,Lanche da Tarde
Arroz Integral,Hipertensão,145,Lanche da Tarde
Espinafre,Diabetes Tipo 1,207,Almoço
Peito de Frango,Diabetes Tipo 2,98,Lanche da Tarde
Abobrinha,Doenças Cardíacas,238,Almoço
Abobrinha,Doença Celíaca,302,Lanche da Tarde
Couve,Diabetes Tipo 1,415,Café da Manhã
Banana,Hipertensão,255,Almoço
Couve,Obesidade,206,Café da Manhã
Peito de Frango,Nenhuma,130,Jantar
Peito de Frango,Insuficiência Renal,277,Almoço
Abobrinha,Doença Celíaca,138,Lanche da Tarde
Acelga,Hipertensão,351,Lanche da Tarde
Blueberry,Insuficiência Renal,440,Almoço
Lentilhas,Doença Celíaca,324,Jantar
Abacate,Osteoporose,362,Lanche da Tarde
Brócolis,Hipertensão,211,Almoço
Pão Integral,Hipertensão,58,Almoço
Blueberry,Colesterol Alto,384,Lanche da Tarde
Tofu,Nenhuma,196,Lanche da Tarde
Laranja,Diabetes Tipo 2,237,Jantar
Tomate,Osteoporose,89,Lanche da Tarde
Aveia,Osteoporose,202,Almoço
Castanha de Caju,Doença Celíaca,446,Café da Manhã
Iogurte Natural,Doença Celíaca,59,Almoço
Castanha de Caju,Doença Celíaca,403,Almoço
Couve,Nenhuma,305,Jantar
Cenoura,Nenhuma,483,Lanche da Tarde
Chia,Obesidade,403,Lanche da Tarde
Salmão,Nenhuma,100,Jantar
Grão-de-Bico,Nenhuma,266,Lanche da Tarde
Queijo Cottage,Doenças Cardíacas,449,Café da Manhã
Abacate,Doenças Cardíacas,288,Café da Manhã
Cenoura,Obesidade,217,Almoço
Pimentão,Osteoporose,376,Almoço
Aveia,Doenças Cardíacas,367,Almoço
Queijo Cottage,Osteoporose,451,Jantar
Couve,Diabetes Tipo 2,442,Café da Manhã
Pão Integral,Doença Celíaca,161,Café da Manhã
Grão-de-Bico,Osteoporose,499,Almoço
Iogurte Natural,Colesterol Alto,185,Jantar
Grão-de-Bico,Hipertensão,326,Almoço
Ervilhas,Diabetes Tipo 1,218,Lanche da Tarde
Tomate,Insuficiência Renal,122,Café da Manhã
Iogurte Natural,Diabetes Tipo 2,422,Almoço
Ervilhas,Osteoporose,178,Jantar
Aveia,Nenhuma,425,Almoço
Ervilhas,Doença Celíaca,91,Café da Manhã
Batata Inglesa,Obesidade,436,Lanche da Tarde
Salmão,Diabetes Tipo 2,82,Lanche da Tarde
Aveia,Diabetes Tipo 1,430,Café da Manhã
Blueberry,Doenças Cardíacas,60,Almoço
Abobrinha,Diabetes Tipo 2,442,Café da Manhã
Ovos,Osteoporose,71,Jantar
Morango,Colesterol Alto,169,Jantar
Chia,Insuficiência Renal,107,Almoço
Aveia,Osteoporose,95,Café da Manhã
Chia,Nenhuma,373,Jantar
Tilápia,Diabetes Tipo 2,247,Lanche da Tarde
Laranja,Colesterol Alto,333,Almoço
Peito de Frango,Obesidade,268,Jantar
Batata Doce,Diabetes Tipo 1,446,Almoço
Lentilhas,Diabetes Tipo 1,370,Lanche da Tarde
Quinoa,Colesterol Alto,53,Lanche da Tarde
Acelga,Diabetes Tipo 1,495,Lanche da Tarde
Batata Doce,Diabetes Tipo 1,477,Almoço
Abobrinha,Diabetes Tipo 2,146,Lanche da Tarde
Tilápia,Insuficiência Renal,90,Jantar
Iogurte Natural,Colesterol Alto,70,Lanche da Tarde
Aveia,Nenhuma,320,Jantar
Castanha de Caju,Insuficiência Renal,74,Almoço
Blueberry,Diabetes Tipo 2,373,Lanche da Tarde
Pão Integral,Hipertensão,338,Café da Manhã
Peras,Nenhuma,379,Jantar
Tilápia,Colesterol Alto,376,Jantar
Abobrinha,Obesidade,117,Café da Manhã
Iogurte Natural,Doença Celíaca,364,Jantar
Quinoa,Obesidade,462,Café da Manhã
Pepino,Doença Celíaca,53,Jantar
Aveia,Diabetes Tipo 2,274,Lanche da Tarde
Aveia,Nenhuma,472,Almoço
Pimentão,Nenhuma,158,Lanche da Tarde
Batata Doce,Obesidade,398,Jantar
Tilápia,Diabetes Tipo 1,292,Café da Manhã
Quinoa,Obesidade,247,Lanche da Tarde
Iogurte Natural,Diabetes Tipo 2,51,Lanche da Tarde
Brócolis,Hipertensão,195,Almoço
Iogurte Natural,Doenças Cardíacas,240,Café da Manhã
Ovos,Insuficiência Renal,481,Café da Manhã
Banana,Osteoporose,314,Café da Manhã
Pepino,Doenças Cardíacas,379,Jantar
Carne Magra,Obesidade,486,Lanche da Tarde
Maçã,Obesidade,447,Café da Manhã
Queijo Cottage,Osteoporose,418,Lanche da Tarde
Blueberry,Colesterol Alto,91,Café da Manhã
Brócolis,Diabetes Tipo 2,74,Almoço
Arroz Integral,Colesterol Alto,113,Café da Manhã
Pepino,Diabetes Tipo 2,121,Café da Manhã
Iogurte Natural,Doença Celíaca,119,Almoço
Carne Magra,Diabetes Tipo 2,153,Lanche da Tarde
Cenoura,Doenças Cardíacas,198,Café da Manhã
Lentilhas,Doença Celíaca,373,Café da Manhã
Aveia,Diabetes Tipo 1,499,Almoço
Blueberry,Colesterol Alto,251,Jantar
Queijo Cottage,Nenhuma,396,Jantar
Carne Magra,Hipertensão,371,Almoço
Queijo Cottage,Hipertensão,218,Lanche da Tarde
Quinoa,Insuficiência Renal,418,Almoço
Banana,Nenhuma,408,Café da Manhã
Amêndoas,Doença Celíaca,480,Café da Manhã
Iogurte Natural,Hipertensão,455,Lanche da Tarde
Aveia,Hipertensão,382,Almoço
Iogurte Natural,Diabetes Tipo 2,120,Lanche da Tarde
Chia,Insuficiência Renal,466,Almoço
Grão-de-Bico,Doença Celíaca,476,Café da Manhã
Banana,Diabetes Tipo 2,390,Café da Manhã
Ovos,Doenças Cardíacas,254,Lanche da Tarde
Banana,Insuficiência Renal,392,Almoço
Ovos,Doenças Cardíacas,70,Café da Manhã
Ervilhas,Insuficiência Renal,159,Café da Manhã
Ervilhas,Osteoporose,467,Almoço
Abobrinha,Obesidade,466,Lanche da Tarde
Arroz Integral,Osteoporose,315,Lanche da Tarde
Castanha de Caju,Nenhuma,237,Lanche da Tarde
Tomate,Colesterol Alto,150,Jantar
Feijão Preto,Doenças Cardíacas,181,Lanche da Tarde
Morango,Colesterol Alto,283,Lanche da Tarde
Pão Integral,Insuficiência Renal,113,Café da Manhã
Batata Inglesa,Diabetes Tipo 2,112,Almoço
Peras,Doenças Cardíacas,442,Lanche da Tarde
Maçã,Doenças Cardíacas,334,Jantar
Pimentão,Colesterol Alto,293,Café da Manhã
Batata Inglesa,Obesidade,63,Lanche da Tarde
Lentilhas,Obesidade,377,Lanche da Tarde
Tomate,Insuficiência Renal,432,Jantar
Lentilhas,Doenças Cardíacas,165,Jantar
Amêndoas,Osteoporose,446,Café da Manhã
Espinafre,Obesidade,436,Jantar
Ovos,Doenças Cardíacas,278,Lanche da Tarde
Salmão,Obesidade,159,Almoço
Queijo Cottage,Insuficiência Renal,127,Jantar
Tofu,Diabetes Tipo 1,329,Lanche da Tarde
Aveia,Colesterol Alto,432,Café da Manhã
Ovos,Doença Celíaca,281,Almoço
Maçã,Nenhuma,237,Café da Manhã
Banana,Obesidade,299,Lanche da Tarde
Feijão Preto,Diabetes Tipo 2,168,Almoço
Pepino,Nenhuma,251,Café da Manhã
Pepino,Osteoporose,281,Lanche da Tarde
Peras,Hipertensão,432,Café da Manhã
Lentilhas,Diabetes Tipo 1,385,Jantar
Lentilhas,Hipertensão,61,Lanche da Tarde
Carne Magra,Nenhuma,59,Almoço
Batata Doce,Insuficiência Renal,368,Lanche da Tarde
Semente de Linhaça,Hipertensão,115,Almoço
Blueberry,Obesidade,268,Jantar
Blueberry,Hipertensão,445,Café da Manhã
Amêndoas,Colesterol Alto,401,Almoço
Castanha de Caju,Hipertensão,354,Café da Manhã
Pepino,Doenças Cardíacas,364,Lanche da Tarde
Quinoa,Insuficiência Renal,125,Lanche da Tarde
Quinoa,Diabetes Tipo 2,179,Almoço
Abacate,Nenhuma,171,Jantar
Batata Doce,Obesidade,459,Lanche da Tarde
Semente de Linhaça,Obesidade,336,Café da Manhã
Lentilhas,Insuficiência Renal,467,Lanche da Tarde
Morango,Hipertensão,286,Lanche da Tarde
Iogurte Natural,Nenhuma,137,Jantar
Castanha de Caju,Insuficiência Renal,326,Café da Manhã
Tilápia,Colesterol Alto,355,Almoço
Batata Inglesa,Obesidade,442,Lanche da Tarde
Pepino,Insuficiência Renal,370,Lanche da Tarde
Pão Integral,Nenhuma,468,Lanche da Tarde
Carne Magra,Diabetes Tipo 2,208,Jantar
Banana,Osteoporose,408,Lanche da Tarde
Morango,Insuficiência Renal,215,Lanche da Tarde
Ovos,Hipertensão,328,Almoço
Chia,Doenças Cardíacas,111,Almoço
Laranja,Hipertensão,348,Café da Manhã
Cenoura,Diabetes Tipo 2,354,Almoço
Abacate,Obesidade,155,Café da Manhã
Abobrinha,Hipertensão,70,Almoço
Maçã,Osteoporose,477,Café da Manhã
Salmão,Osteoporose,441,Café da Manhã
Peras,Diabetes Tipo 2,243,Lanche da Tarde
Lentilhas,Osteoporose,170,Jantar
Espinafre,Hipertensão,479,Café da Manhã
Grão-de-Bico,Hipertensão,80,Jantar
Abobrinha,Osteoporose,190,Lanche da Tarde
Queijo Cottage,Doença Celíaca,362,Café da Manhã
Grão-de-Bico,Doenças Cardíacas,199,Café da Manhã
Feijão Preto,Nenhuma,247,Jantar
Acelga,Doenças Cardíacas,66,Lanche da Tarde
Semente de Linhaça,Doença Celíaca,93,Jantar
